variable,mean_control,mean_treated,diff,t_stat,p_value,smd_cohen_d
pre_dv,346.8929,1323.5476,976.6548,6.0476,0,1.7458
pre_hom,1.8214,12.006,10.1845,6.9056,0,1.9935
pre_pop,36529.9762,31923.5848,-4606.3914,-0.7963,0.43120000000000003,-0.2299
pre_density,5112.0745,4665.1551,-446.9193,-0.5913,0.5584,-0.1707
pre_pct_black,0.1575,0.7287,0.5712,6.4214,0,1.8537
pre_pct_latino,0.2036,0.2137,0.01,0.1362,0.8924,0.0393
pre_pct_poverty,0.1687,0.3051,0.1364,4.4507,1e-4,1.2848
pre_med_inc,59270.4407,34264.1959,-25006.2448,-5.5666,0,-1.6069
pre_unemp_y,0.1448,0.3272,0.1824,6.0068,0,1.734
pre_bach,0.4235,0.1529,-0.2706,-5.1346,0,-1.4822
pre_pct_gang,0.0917,0.6181,0.5264,17.7687,0,5.1294
